tile_num,GeoTIFF,geometry,S2 Tile Name
3791,boreal_agb_202302061675666631_3791.tif,"POLYGON ((130.33255137800006 54.95914316100004, 131.27375620300006 54.363479151000035, 130.24290591200008 53.82691792500003, 129.2990662520001 54.41485860900008, 130.33255137800006 54.95914316100004))",52UFE
3884,boreal_agb_202302061675672943_3884.tif,"POLYGON ((131.27375620300006 54.363479151000035, 132.1861258140001 53.75982483300004, 131.1586060610001 53.23081257300004, 130.24290591200008 53.82691792500003, 131.27375620300006 54.363479151000035))",52UFF
3885,boreal_agb_202302061675668042_3885.tif,"POLYGON ((132.3334387210001 54.89019396400005, 133.241493794 54.27888837000006, 132.1861258140001 53.75982483300004, 131.27375620300006 54.363479151000035, 132.3334387210001 54.89019396400005))",52UFF
3792,boreal_agb_202302061675669341_3792.tif,"POLYGON ((131.3958706510001 55.493696699000054, 132.3334387210001 54.89019396400005, 131.27375620300006 54.363479151000035, 130.33255137800006 54.95914316100004, 131.3958706510001 55.493696699000054))",52UFF
3791,boreal_agb_202302061675666631_3791.tif,"POLYGON ((130.33255137800006 54.95914316100004, 131.27375620300006 54.363479151000035, 130.24290591200008 53.82691792500003, 129.2990662520001 54.41485860900008, 130.33255137800006 54.95914316100004))",52UFF
3793,boreal_agb_202302061675671324_3793.tif,"POLYGON ((132.48977842500005 56.01817219000003, 133.42263027500007 55.406723372000044, 132.3334387210001 54.89019396400005, 131.3958706510001 55.493696699000054, 132.48977842500005 56.01817219000003))",52UFF
3792,boreal_agb_202302061675669341_3792.tif,"POLYGON ((131.3958706510001 55.493696699000054, 132.3334387210001 54.89019396400005, 131.27375620300006 54.363479151000035, 130.33255137800006 54.95914316100004, 131.3958706510001 55.493696699000054))",52UFG
3793,boreal_agb_202302061675671324_3793.tif,"POLYGON ((132.48977842500005 56.01817219000003, 133.42263027500007 55.406723372000044, 132.3334387210001 54.89019396400005, 131.3958706510001 55.493696699000054, 132.48977842500005 56.01817219000003))",52UFG
3697,boreal_agb_202302061675671407_3697.tif,"POLYGON ((130.42771061700012 56.089108589000034, 131.3958706510001 55.493696699000054, 130.33255137800006 54.95914316100004, 129.36150995900005 55.54652959300006, 130.42771061700012 56.089108589000034))",52UFG
3698,boreal_agb_202302061675666372_3698.tif,"POLYGON ((131.5256000270001 56.62173138900005, 132.48977842500005 56.01817219000003, 131.3958706510001 55.493696699000054, 130.42771061700012 56.089108589000034, 131.5256000270001 56.62173138900005))",52UFG
3793,boreal_agb_202302061675671324_3793.tif,"POLYGON ((132.48977842500005 56.01817219000003, 133.42263027500007 55.406723372000044, 132.3334387210001 54.89019396400005, 131.3958706510001 55.493696699000054, 132.48977842500005 56.01817219000003))",52VFH
3697,boreal_agb_202302061675671407_3697.tif,"POLYGON ((130.42771061700012 56.089108589000034, 131.3958706510001 55.493696699000054, 130.33255137800006 54.95914316100004, 129.36150995900005 55.54652959300006, 130.42771061700012 56.089108589000034))",52VFH
3604,boreal_agb_202302061675668848_3604.tif,"POLYGON ((130.52890804700007 57.21709288900007, 131.5256000270001 56.62173138900005, 130.42771061700012 56.089108589000034, 129.42785898300008 56.67612210500005, 130.52890804700007 57.21709288900007))",52VFH
3698,boreal_agb_202302061675666372_3698.tif,"POLYGON ((131.5256000270001 56.62173138900005, 132.48977842500005 56.01817219000003, 131.3958706510001 55.493696699000054, 130.42771061700012 56.089108589000034, 131.5256000270001 56.62173138900005))",52VFH
3699,boreal_agb_202302061675669560_3699.tif,"POLYGON ((132.65599898200003 57.14402478800008, 133.61500814400006 56.53220533000007, 132.48977842500005 56.01817219000003, 131.5256000270001 56.62173138900005, 132.65599898200003 57.14402478800008))",52VFH
3605,boreal_agb_202302061675666186_3605.tif,"POLYGON ((131.6636784760001 57.747863324000036, 132.65599898200003 57.14402478800008, 131.5256000270001 56.62173138900005, 130.52890804700007 57.21709288900007, 131.6636784760001 57.747863324000036))",52VFH
3511,boreal_agb_202302061675665681_3511.tif,"POLYGON ((130.63673671200002 58.34339109700005, 131.6636784760001 57.747863324000036, 130.52890804700007 57.21709288900007, 129.49849137600006 57.80392717600006, 130.63673671200002 58.34339109700005))",52VFJ
3604,boreal_agb_202302061675668848_3604.tif,"POLYGON ((130.52890804700007 57.21709288900007, 131.5256000270001 56.62173138900005, 130.42771061700012 56.089108589000034, 129.42785898300008 56.67612210500005, 130.52890804700007 57.21709288900007))",52VFJ
3699,boreal_agb_202302061675669560_3699.tif,"POLYGON ((132.65599898200003 57.14402478800008, 133.61500814400006 56.53220533000007, 132.48977842500005 56.01817219000003, 131.5256000270001 56.62173138900005, 132.65599898200003 57.14402478800008))",52VFJ
3605,boreal_agb_202302061675666186_3605.tif,"POLYGON ((131.6636784760001 57.747863324000036, 132.65599898200003 57.14402478800008, 131.5256000270001 56.62173138900005, 130.52890804700007 57.21709288900007, 131.6636784760001 57.747863324000036))",52VFJ
3606,boreal_agb_202302061675665695_3606.tif,"POLYGON ((132.83306543800006 58.26803141400006, 133.81970390800006 57.65559668100008, 132.65599898200003 57.14402478800008, 131.6636784760001 57.747863324000036, 132.83306543800006 58.26803141400006))",52VFJ
3513,boreal_agb_202302061675667991_3513.tif,"POLYGON ((133.02207241600001 59.39048945500008, 134.0379355670001 58.77717439600008, 132.83306543800006 58.26803141400006, 131.81093749900003 58.87238978800008, 133.02207241600001 59.39048945500008))",52VFK
3421,boreal_agb_202302061675672112_3421.tif,"POLYGON ((130.75186986800009 59.468318338000074, 131.81093749900003 58.87238978800008, 130.63673671200002 58.34339109700005, 129.57383559000004 58.93025466600005, 130.75186986800009 59.468318338000074))",52VFK
3512,boreal_agb_202302061675670884_3512.tif,"POLYGON ((131.81093749900003 58.87238978800008, 132.83306543800006 58.26803141400006, 131.6636784760001 57.747863324000036, 130.63673671200002 58.34339109700005, 131.81093749900003 58.87238978800008))",52VFK
3511,boreal_agb_202302061675665681_3511.tif,"POLYGON ((130.63673671200002 58.34339109700005, 131.6636784760001 57.747863324000036, 130.52890804700007 57.21709288900007, 129.49849137600006 57.80392717600006, 130.63673671200002 58.34339109700005))",52VFK
3605,boreal_agb_202302061675666186_3605.tif,"POLYGON ((131.6636784760001 57.747863324000036, 132.65599898200003 57.14402478800008, 131.5256000270001 56.62173138900005, 130.52890804700007 57.21709288900007, 131.6636784760001 57.747863324000036))",52VFK
